bhk,type,locality,region,area,price,price_unit,status,age,price_in_inr,price_per_sqft
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,651,20.0,L,Ready to move,Resale,2000000.0,3072.1966205837175
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,651,20.0,L,Ready to move,Resale,2000000.0,3072.1966205837175
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,651,20.0,L,Ready to move,Resale,2000000.0,3072.1966205837175
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,651,20.0,L,Ready to move,Resale,2000000.0,3072.1966205837175
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,651,20.0,L,Ready to move,Resale,2000000.0,3072.1966205837175
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,651,20.0,L,Ready to move,Resale,2000000.0,3072.1966205837175
2,Apartment,Shreeji Darshan,Ulwe,950,80.0,L,Under Construction,Resale,8000000.0,8421.052631578947
2,Apartment,Abhinandan Cloris,Kewale,950,55.0,L,Under Construction,Resale,5500000.0,5789.473684210527
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,650,20.0,L,Ready to move,Resale,2000000.0,3076.923076923077
4,Apartment,Reputed Builder Emerald Apartments,Santacruz East,2100,3.25,Cr,Ready to move,Resale,32500000.0,15476.190476190477
1,Apartment,Paradise Sai World Dreams Phase 1,Dombivali,720,47.0,L,Under Construction,Resale,4700000.0,6527.777777777777
3,Apartment,Bhoomi New vandana CHSL,Borivali East,1530,2.85,Cr,Ready to move,Resale,28500000.0,18627.450980392157
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,651,20.0,L,Ready to move,Resale,2000000.0,3072.1966205837175
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,651,20.0,L,Ready to move,Resale,2000000.0,3072.1966205837175
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,650,20.0,L,Ready to move,Resale,2000000.0,3076.923076923077
1,Apartment,Crystal Bharat Residency,Nala Sopara,560,25.0,L,Ready to move,Resale,2500000.0,4464.285714285715
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,651,20.0,L,Ready to move,Resale,2000000.0,3072.1966205837175
1,Apartment,Avant Hillway,Goregaon East,400,79.8,L,Under Construction,Resale,7980000.0,19950.0
1,Apartment,Fia Orion,Palghar,530,22.79,L,Ready to move,Resale,2279000.0,4300.0
2,Apartment,SS Balaji Krishna,Dombivali,920,65.0,L,Under Construction,Resale,6500000.0,7065.217391304348
1,Apartment,Qualitas QN Heights,Taloja,550,25.0,L,Ready to move,Resale,2500000.0,4545.454545454545
1,Apartment,Aditi Seven Heights,Boisar,650,20.0,L,Under Construction,Resale,2000000.0,3076.923076923077
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,651,20.0,L,Ready to move,Resale,2000000.0,3072.1966205837175
4,Apartment,SD Epsilon,Kandivali East,1500,5.6,Cr,Ready to move,Resale,56000000.0,37333.333333333336
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,650,20.0,L,Ready to move,Resale,2000000.0,3076.923076923077
1,Apartment,Crystal Bharat Residency,Nala Sopara,520,25.0,L,Ready to move,Resale,2500000.0,4807.692307692308
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,651,20.0,L,Ready to move,Resale,2000000.0,3072.1966205837175
1,Apartment,Lodha Codename Crown Jewel,Thane West,453,85.0,L,Ready to move,Resale,8500000.0,18763.796909492274
1,Apartment,Zoeb Aayesha Palace,Parel,650,1.0,Cr,Ready to move,Resale,10000000.0,15384.615384615385
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,651,20.0,L,Ready to move,Resale,2000000.0,3072.1966205837175
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,651,20.0,L,Ready to move,Resale,2000000.0,3072.1966205837175
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,650,20.0,L,Ready to move,Resale,2000000.0,3076.923076923077
2,Apartment,HDIL Galaxy Apartments,Kurla,920,1.1,Cr,Ready to move,Resale,11000000.0,11956.521739130434
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,650,20.0,L,Ready to move,Resale,2000000.0,3076.923076923077
1,Apartment,Shreeji Bhakti Park,Thane West,570,55.0,L,Ready to move,Resale,5500000.0,9649.122807017544
